finding_id,sensitivity_name,scenario_id,coverage_basis,severity,status,observation,recommendation
S26-001,available_resource_assumptions,moderate,cover1,Medium,Observation,The sensitivity grid produced 1 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-002,available_resource_assumptions,moderate,cover2,Medium,Observation,The sensitivity grid produced 2 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-003,available_resource_assumptions,severe,cover1,Medium,Observation,The sensitivity grid produced 6 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-004,available_resource_assumptions,severe,cover2,Medium,Observation,The sensitivity grid produced 6 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-005,default_set_size,moderate,variable_default_set,Medium,Observation,The sensitivity grid produced 1 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-006,default_set_size,severe,variable_default_set,Medium,Observation,The sensitivity grid produced 3 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-007,duration_assumptions,moderate,cover1,Observation,Closed,Expected directional behavior was preserved and no LCR breach occurred.,Retain the tested range as regression evidence for future model changes.
S26-008,duration_assumptions,moderate,cover2,Observation,Closed,Expected directional behavior was preserved and no LCR breach occurred.,Retain the tested range as regression evidence for future model changes.
S26-009,duration_assumptions,severe,cover1,Medium,Observation,The sensitivity grid produced 6 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-010,duration_assumptions,severe,cover2,Medium,Observation,The sensitivity grid produced 6 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-011,haircut_increases,moderate,cover1,Observation,Closed,Expected directional behavior was preserved and no LCR breach occurred.,Retain the tested range as regression evidence for future model changes.
S26-012,haircut_increases,moderate,cover2,Observation,Closed,Expected directional behavior was preserved and no LCR breach occurred.,Retain the tested range as regression evidence for future model changes.
S26-013,haircut_increases,severe,cover1,Medium,Observation,The sensitivity grid produced 6 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-014,haircut_increases,severe,cover2,Medium,Observation,The sensitivity grid produced 6 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-015,liquidation_horizon,moderate,cover1,Observation,Closed,Expected directional behavior was preserved and no LCR breach occurred.,Retain the tested range as regression evidence for future model changes.
S26-016,liquidation_horizon,moderate,cover2,Observation,Closed,Expected directional behavior was preserved and no LCR breach occurred.,Retain the tested range as regression evidence for future model changes.
S26-017,liquidation_horizon,severe,cover1,Medium,Observation,The sensitivity grid produced 5 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-018,liquidation_horizon,severe,cover2,Medium,Observation,The sensitivity grid produced 5 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-019,member_concentration,moderate,cover1,Observation,Closed,Expected directional behavior was preserved and no LCR breach occurred.,Retain the tested range as regression evidence for future model changes.
S26-020,member_concentration,moderate,cover2,Observation,Closed,Expected directional behavior was preserved and no LCR breach occurred.,Retain the tested range as regression evidence for future model changes.
S26-021,member_concentration,severe,cover1,Medium,Observation,The sensitivity grid produced 6 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-022,member_concentration,severe,cover2,Medium,Observation,The sensitivity grid produced 6 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-023,rollover_failure_percentages,moderate,cover1,Observation,Closed,Expected directional behavior was preserved and no LCR breach occurred.,Retain the tested range as regression evidence for future model changes.
S26-024,rollover_failure_percentages,moderate,cover2,Medium,Observation,The sensitivity grid produced 1 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-025,rollover_failure_percentages,severe,cover1,Medium,Observation,The sensitivity grid produced 6 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-026,rollover_failure_percentages,severe,cover2,Medium,Observation,The sensitivity grid produced 6 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-027,settlement_fail_percentages,moderate,cover1,Observation,Closed,Expected directional behavior was preserved and no LCR breach occurred.,Retain the tested range as regression evidence for future model changes.
S26-028,settlement_fail_percentages,moderate,cover2,Medium,Observation,The sensitivity grid produced 1 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-029,settlement_fail_percentages,severe,cover1,Medium,Observation,The sensitivity grid produced 6 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-030,settlement_fail_percentages,severe,cover2,Medium,Observation,The sensitivity grid produced 6 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-031,sofr_spikes,moderate,cover1,Observation,Closed,Expected directional behavior was preserved and no LCR breach occurred.,Retain the tested range as regression evidence for future model changes.
S26-032,sofr_spikes,moderate,cover2,Observation,Closed,Expected directional behavior was preserved and no LCR breach occurred.,Retain the tested range as regression evidence for future model changes.
S26-033,sofr_spikes,severe,cover1,Medium,Observation,The sensitivity grid produced 6 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-034,sofr_spikes,severe,cover2,Medium,Observation,The sensitivity grid produced 6 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-035,yield_shocks,moderate,cover1,Observation,Closed,Expected directional behavior was preserved and no LCR breach occurred.,Retain the tested range as regression evidence for future model changes.
S26-036,yield_shocks,moderate,cover2,Observation,Closed,Expected directional behavior was preserved and no LCR breach occurred.,Retain the tested range as regression evidence for future model changes.
S26-037,yield_shocks,severe,cover1,Medium,Observation,The sensitivity grid produced 6 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
S26-038,yield_shocks,severe,cover2,Medium,Observation,The sensitivity grid produced 6 LCR observations below 1.0 while maintaining expected directional behavior.,Confirm that the breach thresholds and management actions are reflected in model governance and limit monitoring.
